VASSAL_MISSION_WAR_NAME;$ORDER$$FIRST$ вассализация державы $SECOND_NAME$;$ORDER$$FIRST$ Assujettissement de $SECOND_NAME$;$ORDER$$FIRST$ Unterwerfung von $SECOND_NAME$;;$ORDER$$FIRST$ Subyugaciуn de $SECOND_NAME$;;;;;;;;;x;
JIHAD;Джихад;Djihad;Jihad;;Jihad;;;;;;;;;x;
DEFECTED_IN_THE_LAST;Отложилась в последние;Perdu au cours des derniers ;Ist zuletzt ьbergelaufen;;Desertora en el ъltimo;;;;;;;;;x;
NOT_DEFECTED_IN_THE_LAST;НЕ отложилась в последние;Non perdu au cours des derniers;Ist zuletzt NICHT ьbergelaufen;;NO desertora en el ъltimo;;;;;;;;;x;
IS_NOT_PREVIOUS_OWNER;НЕ является предыдущим владельцем:;N’est PAS l’ancien propriйtaire :;Ist KEIN vorheriger Besitzer;;NO es el dueсo anterior:;;;;;;;;;x;
IS_PREVIOUS_OWNER;Является предыдущим владельцем:;Est l’ancien propriйtaire :;ist vorheriger Besitzer:;;Es el dueсo anterior:;;;;;;;;;x;
ARE_NOT_PRIMITIVES;НЕ является примитивным народом;N’est PAS primitif;Ist NICHT primitiv;;NO es primitivo;;;;;;;;;x;
ARE_PRIMITIVES;Является примитивным народом;Est primitif;Ist primitiv;;Es primitivo;;;;;;;;;x;
CONCEDE_DEFEAT;Держава $WHO$ признает свое поражение. ;$WHO$ ne s’avouera pas vaincu. ;$WHO$ sieht die Niederlage ein;;$WHO$ aceptarб la derrota. ;;;;;;;;;x;
PEACE_EFFECTS;Держава $ACTIVE$ получит $PRESTIGE$% престижа и увеличит свое бесчестье на $BADBOY$. Использованный повод для войны: '$CASUS$'.;Avec le casus belli $THE$$CASUS$, $ACTIVE$ gagne $PRESTIGE$ de prestige et accumule $BADBOY$ de dйshonneur.;Mit dem Kriegsgrund$THE$$CASUS$ , erhдlt $ACTIVE$ $PRESTIGE$ Prestige und auch $BADBOY$ Ruf.;;Con $THE$$CASUS$ casus bellis, $ACTIVE$ gana $PRESTIGE$ prestigio y aumenta la infamia de $BADBOY$.;;;;;;;;;x;
PEACE_DEFENDER_EFFECTS;Будучи обороняющейся стороной, держава $ACTIVE$ получит $PRESTIGE$% престижа и увеличит свое бесчестье на $BADBOY$.;En tant que dйfenseur, $ACTIVE$ gagne $PRESTIGE$ de prestige et accumule $BADBOY$ de dйshonneur.;Als Verteidiger, $ACTIVE$ erhдlt $PRESTIGE$ Prestige und auch $BADBOY$ Ruf.;;Como defensor, $ACTIVE$ gana $PRESTIGE$ prestigio y aumenta la infamia de $BADBOY$.;;;;;;;;;x;
THE; ;le / la / les;dem;;el;;;;;;;;;x;
nocasusbelli;Нет повода для войны;Pas de casus belli;Kein Kriegsgrund;;Sin casus belli;;;;;;;;;x;
nocasusbelli_desc;У нас нет законного права напасть на них.;Nous n’avons aucune raison valable de les attaquer.;Wir haben keinen Grund, sie anzugreiffen.;;No tenemos una razуn vбlida para atacarles.;;;;;;;;;x;
cb_defection;Отложение провинции;Province perdue;Ьbergelaufene Provinz;;Provincia desertora;;;;;;;;;x;
cb_defection_desc;Они владеют провинциями, недавно отложившимися от нас!;Ils dйtiennent des provinces qui ne nous appartiennent plus.;Sie halten Provinzen, die aus unserer Herrschaft entlaufen sind.;;Controlan provincias que han renunciado a nuestra soberanнa.;;;;;;;;;x;
cb_loan_cancelled;Отказ от выплаты займа;Emprunt annulй;Entwerteter Kredit;;Prйstamo cancelado;;;;;;;;;x;
cb_loan_cancelled_desc;Они отказались вернуть нам заем!;Ils n’ont pas remboursй leur emprunt.;Sie haben einen Kredigt entwertet.;;No han cumplido con el prйstamo.;;;;;;;;;x;
cb_spy_discovered;Обнаруженный шпион;Espion dйmasquй;Entdeckter Spion;;Espнa descubierto;;;;;;;;;x;
cb_spy_discovered_desc;Они пытались шпионить за нами!;Ils nous espionnent !;Sie haben uns ausspioniert!;;ЎHan estado espiбndonos!;;;;;;;;;x;
cb_disloyal_vassal;Неверный вассал;Vassal dйloyal;Illoyaler Vassall;;Vasallo desleal;;;;;;;;;x;
cb_disloyal_vassal_desc;Они позорно нарушили свою вассальную клятву!;Ils ont honteusement rompu leur serment de vasselage.;Sie haben ihre Vassalisation gebrochen.;;Han roto deshonrosamente su voto de vasallaje.;;;;;;;;;x;
cb_defender_of_the_faith;Защитник веры;Dйfenseur de la foi;Verteidiger des Glaubens.;;Defensor de la fe;;;;;;;;;x;
cb_defender_of_the_faith_desc;Они атаковали наших братьев по вере!;Ils attaquent nos frиres de foi !;Sie greifen unsere Glaubensbrьder an!;;ЎEstбn atacando a nuestros hermanos de fe!;;;;;;;;;x;
cb_hre_attacked;Освобождение империи;Libйration impйriale;Imperiale Befreiung;;Liberaciуn imperial;;;;;;;;;x;
cb_hre_attacked_desc;Они незаконно аннексировали княжество империи!;Ils ont annexй une principautй impйriale.;Sie haben eine Nation des Reichs annektiert;;Han anexado un principado imperial.;;;;;;;;;x;
cb_guarantee;Гарантия независимости;Indйpendance garantie;Unabhдngigkeitsgarantie;;Independencia garantizada;;;;;;;;;x;
cb_guarantee_desc;Они атаковали страну, чью независимость мы гарантировали!;Ils attaquent un pays auquel nous avons garanti l’indйpendance.;Sie greifen ein Land an, dessen Unabhдngigkeit wir garantieren.;;Estбn atacando un paнs cuya independencia hemos garantizado.;;;;;;;;;x;
cb_warning;Забытое предупреждение;Avertissement ignorй;Ignorierte Warnung;;Aviso desoнdo;;;;;;;;;x;
cb_warning_desc;Они атаковали нашего соседа, несмотря на наше предупреждение!;Ils ont attaquй un de nos voisins en dйpit de notre avertissement.;Sie haben ein Nachbarland angegriffen, ohne unsere Warnung zu beachten.;;Han atacado a uno de nuestros vecinos, pese a nuestra advertencia.;;;;;;;;;x;
cb_insult;Дипломатический выпад;Insulte diplomatique;Diplomatische Beleidigung;;Insulto diplomбtico;;;;;;;;;x;
cb_insult_desc;Они нас оскорбили!;Ils nous ont insultйs !;Sie haben uns beleidigt!;;ЎNos han insultado!;;;;;;;;;x;
cb_claim_throne;Претензия на трон;Revendication au trфne;Thronanspruch;;Reclamaciуn sobre el trono;;;;;;;;;x;
cb_claim_throne_desc;У нас есть законные права на их трон!;Nous avons revendiquй notre droit sur leur trфne.;Wir haben ihren Thron beansprucht.;;Hemos reclamado nuestro derecho a su trono;;;;;;;;;x;
cb_offensive_call;Союз;Alliance;Allianz;;Alianza;;;;;;;;;x;
cb_offensive_call_desc;Они воюют с нашим союзником!;Un alliй est en guerre avec eux.;Ein Verbьndeter im Krieg mit ihnen.;;Un aliado estб en guerra con ellos.;;;;;;;;;x;
cb_dishonored_call;Отказ от помощи;Appel dйshonorй;Verweigerter Hilferuf;;Llamada desoнda;;;;;;;;;x;
cb_dishonored_call_desc;Они отказались помочь нам в нашей войне!;Ils ont dйshonorй notre appel а la guerre.;Sie haben unseren Hilferuf ignoriert;;Han desoнdo nuestra llamada a la guerra;;;;;;;;;x;
cb_conquest;Завоевание;Conquкte;Eroberung;;Conquista;;;;;;;;;x;
cb_conquest_desc;Мы получили задание на захват некоторых их провинций!;Nous avons йtй chargйs de conquйrir certaines provinces.;Wir wurden beauftragt, bestimmte Provinzen zu erobern;;Nos han encargado conquistar ciertas provincias.;;;;;;;;;x;
cb_vassalize_mission;Подчинение;Assujettissement;Unterwerfung;;Subyugaciуn;;;;;;;;;x;
cb_vassalize_mission_desc;Мы получили задание превратить их в вассалов!;Nous avons йtй chargйs de leur vassalisation.;Wir wurden mit ihrer Vassallisation beauftragt;;Nos han encargado su vasallaje.;;;;;;;;;x;
cb_religious_conformance;Религиозная уния;Unitй religieuse;Religiцse Einheit;;Unidad religiosa;;;;;;;;;x;
cb_religious_conformance_desc;Одна империя, одна вера!;Un empire, une foi !;Ein Reich, ein Glaube!;;ЎUn imperio, una fe!;;;;;;;;;x;
cb_core;Возвращение;Reconquкte;Rьckeroberung;;Reconquista;;;;;;;;;x;
cb_core_desc;Они владеют провинциями, должными по праву принадлежать нам!;Ils dйtiennent des provinces qui nous reviennent de droit.;Sie haben Provinzen, die rechtmдЯig unser sind!;;Controlan provincias que son nuestras por derecho.;;;;;;;;;x;
cb_nationalist;Национализм;Nationalisme;Nationalismus;;Nacionalismo;;;;;;;;;x;
cb_nationalist_desc;Они владеют провинциями нашей культурной группы!;Ils dйtiennent des provinces de notre groupe culturel.;Sie haben Provinzen aus unserer Kulturgruppe;;Controlan provincias de nuestro grupo cultural.;;;;;;;;;x;
cb_imperial;Империализм;Impйrialisme;Imperialismus;;Imperialismo;;;;;;;;;x;
cb_imperial_desc;Им будет лучше в составе нашей великой империи!;Ils seront mieux dans notre glorieux empire !;Ihnen wird es unter unserer Herrschaft besser gehen!;;ЎEstarбn mejor en nuestro glorioso imperio!;;;;;;;;;x;
cb_colonial;Колониализм;Colonialisme;Kolonialismus;;Colonialismo;;;;;;;;;x;
cb_colonial_desc;Они владеют колониями, соседствующими с нашими!;Ils possиdent des colonies proches des nфtres.;Sie haben Kolonien nahe den unseren.;;Tienen colonias prуximas a las nuestras.;;;;;;;;;x;
cb_restore_personal_union;Восстановление унии;Rйtablissement de l’union;Wiedererrichtung der Union;;Restauraciуn de la uniуn;;;;;;;;;x;
cb_restore_personal_union_desc;Они разорвали свою личную унию с нами!;Ils ont rompu notre union personnelle.;Sie sind aus unserer Personalunion abgefallen.;;Han roto nuestra uniуn personal;;;;;;;;;x;
cb_liberation;Освобождение;Libйration;Befreidung;;Liberaciуn  ;;;;;;;;;x;
cb_liberation_desc;Они притесняют народы, мечтающие о свободе!;Ils oppriment des peuples qui mйritent d’кtre libres.;Sie werden unterdrьckt und verdienen die Freiheit!;;Oprimen a pueblos que merecen la libertad.;;;;;;;;;x;
cb_crusade;Священная война;Guerre sainte;Heiliger Krieg;;Guerra Santa;;;;;;;;;x;
cb_crusade_desc;Они проклятые еретики!;Maudits infidиles !;Sie sind verdammte Heiden!;;ЎSon unos malditos infieles!;;;;;;;;;x;
cb_heretic;Очищение от ереси;Purge de l'hйrйsie;Auslцschung der Ketzerei;;Purga de la herejнa;;;;;;;;;x;
cb_heretic_desc;Мы должны сжечь этих еретиков!;Brыlez les hйrйtiques !;Verbrennt die Ketzer!;;ЎQuemad a los herejes!;;;;;;;;;x;
cb_border_war;Пограничный конфликт;Conflit frontalier;Grenzdisput;;Disputas fronterizas;;;;;;;;;x;
cb_border_war_desc;Они сосредотачиваются на развитии провинций рядом с нашей границей!;Leur nation s’intйresse а une rйgion proche de notre frontiиre.;Ihre Nation legt groЯes Augenmerk auf unsere Grenze.;;Su naciуn se estб centrando en un бrea cercana a nuestra frontera.;;;;;;;;;x;
cb_excommunication;Отлученный правитель;Souverain excommuniй;Exkommunizierter Herrscher;;Soberano excomulgado;;;;;;;;;x;
cb_excommunication_desc;Их правитель был отлучен от церкви!;Leur souverain a йtй excommuniй.;Ihr Herrscher wurde exkommuniziert;;Su soberano ha sido excomulgado.;;;;;;;;;x;
cb_trade_war;Торговый спор;Conflit commercial;Handelsdisput;;Disputa comercial;;;;;;;;;x;
cb_trade_war_desc;Они угрожают нашей торговле!;Ils menacent notre commerce !;Sie haben ein Embargo gegen uns verhдngt!;;ЎAmenazan nuestro comercio!;;;;;;;;;x;
cb_imperial_ban;Объявление вне закона;Embargo impйrial;Reichsbann;;Veto imperial;;;;;;;;;x;
cb_imperial_ban_desc;Они незаконно владеют провинциями, находящимися внутри империи!;Ils dйtiennent des provinces impйriales.;Sie halten Provinzen des Reichs.;;Controlan provincias imperiales.;;;;;;;;;x;
cb_sphere_of_influence;Угроза сфере влияния;Violation de la sphиre d’influence;Einflusssphдre verletzt;;Zona de influencia violada;;;;;;;;;x;
cb_sphere_of_influence_desc;Они вмешались в дела стран в нашей сфере влияния!;Ils sont intervenus auprиs de pays de notre sphиre d’influence.;Sie haben sich in Lдndern eingemischt, die in unserer Einflusssphдre liegen.;;Se han metido con paнses en nuestra zona de influencia.;;;;;;;;;x;
cb_super_badboy;Бесчестный негодяй;Vauriens sans honneur;Unehrenhaftes Pack;;Escoria sin honor;;;;;;;;;x;
cb_super_badboy_desc;Их ненавидит весь мир!;Ce sont des rebuts de l’humanitй !;Sie sind ohne Ehre;;ЎSon la escoria de la tierra!;;;;;;;;;x;
cb_primitives;Покорение язычников;Conquкte coloniale;Kolonialeroberung;;Conquista colonial;;;;;;;;;x;
cb_primitives_desc;Они примитивные дикари!;Ce sont des paпens primitifs.;Sie sind heidnische Wilde.;;Son paganos primitivos.;;;;;;;;;x;
cb_fabricated_claims;Неизвестные документы;Documents obscurs;Vergessene Dokumente;;Documentos oscuros;;;;;;;;;x;
cb_fabricated_claims_desc;У нас есть достоверные документы, доказывающие нелегитимность их правителя!;Nous disposons de documents raisonnablement authentiques prouvant l’illйgitimitй de leur souverain.;Wir haben einigermaЯen legale Dokumente gefunden, die die RechtmдЯigkeit ihrer Herrschaft in Frage stellen.;;Tenemos documentos razonablemente autйnticos que prueban la ilegitimidad de su soberano.;;;;;;;;;x;
GAIN_CB;Будет получен повод для войны '§Y$TYPE$§W' с державой §Y$WHO$§W.\n;Gain d’un casus belli §Y$TYPE$§W contre §Y$WHO$§W.\n;Erhдlt §Y$TYPE$§W Kriegsgrund gegen §Y$WHO$§W.\n;;Gana §Y$TYPE$§W casus belli a §Y$WHO$§W.\n;;;;;;;;;x;
LOSE_CB;Будет потерян повод для войны '§Y$TYPE$§W' с державой §Y$WHO$§W.\n;Perte d’un casus belli §Y$TYPE$§W contre §Y$WHO$§W.\n;Verliert §Y$TYPE$§W Kriegsgrund gegen §Y$WHO$§W.\n;;Pierde §Y$TYPE$§W casus belli con §Y$WHO$§W.\n;;;;;;;;;x;
REV_GAIN_CB;Держава §Y$ACTIVE$§W получит повод для войны '§Y$TYPE$§W' с державой §Y$PASSIVE$§W.\n;§Y$ACTIVE$§W gagne un casus belli §Y$TYPE$§W contre §Y$PASSIVE$§W.\n;§Y$ACTIVE$§W erhдlt einen §Y$TYPE$§W Kriegsgrund gegen §Y$PASSIVE$§W.\n;;§Y$ACTIVE$§W gana un §Y$TYPE$§W casus belli a §Y$PASSIVE$§W.\n;;;;;;;;;x;
WAR_JUST;При этом они сослались на такой повод для войны, как '$CB$'!;"Ils avancent le casus belli suivant : ""$CB$"" !";Sie deklarieren '$CB$' als ihren Kriegsgrund!;;ЎCitan '$CB$' como su casus belli!;;;;;;;;;x;
WAR_INJUST;У них нет законного повода для войны!;Ils n’ont aucun casus belli valable !;Wir haben keinen Kriegsgrund!;;ЎNo tienen un casus belli debido!;;;;;;;;;x;
CB_DESC_HEAD;$BADBOY$ бесчестья, $PRESTIGE$ престижа и $COST$ стоимости за:;$BADBOY$ de dйshonneur, $PRESTIGE$ de prestige et $COST$ de coыt pour :;$BADBOY$ Ruf $PRESTIGE$ Prestige und $COST$ Kosten fьr:;;$BADBOY$ Infamia, $PRESTIGE$ Prestigio y $COST$ Coste por:;;;;;;;;;x;
CB_ALLOWED_PROVS;Завоевание пров.;Conquкte de;Eroberung von;;Conquista de;;;;;;;;;x;
